,item_count,bin_capacity,weight_range,instance,bin_count,execution_time
N1C2W2_J.txt,1,2,2,9,32,0.054099999999834836
N1C2W2_K.txt,1,2,2,10,38,0.057200000014745456
N1C2W2_L.txt,1,2,2,11,37,0.05470000002105735
N1C2W2_M.txt,1,2,2,12,36,0.08919999999079664
N1C2W2_N.txt,1,2,2,13,35,0.05610000005162874
N1C2W2_O.txt,1,2,2,14,37,0.08400000001529406
N1C2W2_P.txt,1,2,2,15,31,0.05390000001170847
N1C2W2_Q.txt,1,2,2,16,37,0.05589999994981554
N1C2W2_R.txt,1,2,2,17,34,0.05349999997861232
N1C2W2_S.txt,1,2,2,18,32,0.08280000002969246
N1C2W2_T.txt,1,2,2,19,35,0.05499999997482519
N1C2W4_A.txt,1,2,4,0,35,0.056700000016007834
N1C2W4_B.txt,1,2,4,1,38,0.055399999951077916
N1C2W4_C.txt,1,2,4,2,37,0.05790000000160944
N1C2W4_D.txt,1,2,4,3,35,0.054099999999834836
N1C2W4_E.txt,1,2,4,4,37,0.056800000038492726
N1C2W4_F.txt,1,2,4,5,39,0.056299999982911686
N1C2W4_G.txt,1,2,4,6,37,0.05740000000287182
N1C2W4_H.txt,1,2,4,7,38,0.07879999998294807
N1C2W4_I.txt,1,2,4,8,40,0.058000000024094334
N1C2W4_J.txt,1,2,4,9,39,0.12409999999363208
N1C2W4_K.txt,1,2,4,10,39,0.13899999999011925
N1C2W4_L.txt,1,2,4,11,38,0.13150000000905493
N1C2W4_M.txt,1,2,4,12,38,0.1278999999954067
N1C2W4_N.txt,1,2,4,13,38,0.1264999999648353
N1C2W4_O.txt,1,2,4,14,38,0.1234000000067681
N1C2W4_P.txt,1,2,4,15,35,0.12599999996609768
N1C2W4_Q.txt,1,2,4,16,40,0.1323000000184038
N1C2W4_R.txt,1,2,4,17,42,0.13200000000779255
N1C2W4_S.txt,1,2,4,18,44,0.13089999998783242
N1C2W4_T.txt,1,2,4,19,36,0.11839999996254846
N1C3W1_A.txt,1,3,1,0,23,0.10730000002467932
N1C3W1_B.txt,1,3,1,1,22,0.1215000000343025
N1C3W1_C.txt,1,3,1,2,24,0.12739999999666907
N1C3W1_D.txt,1,3,1,3,27,0.12639999999919382
N1C3W1_E.txt,1,3,1,4,22,0.12700000002041634
N1C3W1_F.txt,1,3,1,5,29,0.126100000045426
N1C3W1_G.txt,1,3,1,6,20,0.1215000000343025
N1C3W1_H.txt,1,3,1,7,27,0.12880000002724046
N1C3W1_I.txt,1,3,1,8,22,0.1193999999600237
N1C3W1_J.txt,1,3,1,9,22,0.12080000004743852
N1C3W1_K.txt,1,3,1,10,23,0.11960000000499349
N1C3W1_L.txt,1,3,1,11,24,0.09949999997616032
N1C3W1_M.txt,1,3,1,12,24,0.11779999999816937
N1C3W1_N.txt,1,3,1,13,29,0.11649999999008287
N1C3W1_O.txt,1,3,1,14,23,0.1234000000067681
N1C3W1_P.txt,1,3,1,15,26,0.1247000000148546
N1C3W1_Q.txt,1,3,1,16,29,0.11910000000625587
N1C3W1_R.txt,1,3,1,17,28,0.11979999999311985
N1C3W1_S.txt,1,3,1,18,21,0.11980000004996327
N1C3W1_T.txt,1,3,1,19,25,0.12210000005552502
N1C3W2_A.txt,1,3,2,0,26,0.12679999997544655
N1C3W2_B.txt,1,3,2,1,28,0.12409999999363208
N1C3W2_C.txt,1,3,2,2,32,0.12759999998479543
N1C3W2_D.txt,1,3,2,3,28,0.12440000000424334
N1C3W2_E.txt,1,3,2,4,29,0.12910000003785171
N1C3W2_F.txt,1,3,2,5,30,0.12859999998227067
N1C3W2_G.txt,1,3,2,6,32,0.12870000000475557
N1C3W2_H.txt,1,3,2,7,31,0.11690000002317902
N1C3W2_I.txt,1,3,2,8,25,0.13199999995094913
N1C3W2_J.txt,1,3,2,9,30,0.12859999998227067
N1C3W2_K.txt,1,3,2,10,29,0.11749999998755811
N1C3W2_L.txt,1,3,2,11,28,0.1323000000184038
N1C3W2_M.txt,1,3,2,12,30,0.12959999997974592
N1C3W2_N.txt,1,3,2,13,30,0.12040000001434237
N1C3W2_O.txt,1,3,2,14,28,0.1245999999923697
N1C3W2_P.txt,1,3,2,15,24,0.11660000001256776
N1C3W2_Q.txt,1,3,2,16,26,0.12739999999666907
N1C3W2_R.txt,1,3,2,17,26,0.12479999998049607
N1C3W2_S.txt,1,3,2,18,30,0.15569999999343054
N1C3W2_T.txt,1,3,2,19,31,0.12989999999035717
N1C3W4_A.txt,1,3,4,0,30,0.1292000000034932
N1C3W4_B.txt,1,3,4,1,30,0.12870000000475557
N1C3W4_C.txt,1,3,4,2,35,0.13030000002345332
N1C3W4_D.txt,1,3,4,3,30,0.12550000002420347
N1C3W4_E.txt,1,3,4,4,31,0.1245999999923697
N1C3W4_F.txt,1,3,4,5,30,0.13030000002345332
N1C3W4_G.txt,1,3,4,6,33,0.12319999996179831
N1C3W4_H.txt,1,3,4,7,32,0.14530000004242538
N1C3W4_I.txt,1,3,4,8,31,0.12599999996609768
N1C3W4_J.txt,1,3,4,9,31,0.14090000001942826
N1C3W4_K.txt,1,3,4,10,32,0.13009999997848354
N1C3W4_L.txt,1,3,4,11,28,0.12609999998858257
N1C3W4_M.txt,1,3,4,12,27,0.12409999999363208
N1C3W4_N.txt,1,3,4,13,29,0.12520000001359222
N1C3W4_O.txt,1,3,4,14,30,0.12739999999666907
N1C3W4_P.txt,1,3,4,15,34,0.13180000001966619
N1C3W4_Q.txt,1,3,4,16,35,0.1336000000264903
N1C3W4_R.txt,1,3,4,17,30,0.12440000000424334
N1C3W4_S.txt,1,3,4,18,30,0.12249999997493433
N1C3W4_T.txt,1,3,4,19,35,0.05699999996977567
N2C1W1_A.txt,2,1,1,0,61,0.10969999999588254
N2C1W1_B.txt,2,1,1,1,61,0.10880000002089218
N2C1W1_C.txt,2,1,1,2,59,0.19290000000182772
N2C1W1_D.txt,2,1,1,3,62,0.10699999995722465
N2C1W1_E.txt,2,1,1,4,69,0.1504000000522865
N2C1W1_F.txt,2,1,1,5,63,0.18049999999902866
N2C1W1_G.txt,2,1,1,6,72,0.23500000003195964
N2C1W1_H.txt,2,1,1,7,66,0.23629999998320272
N2C1W1_I.txt,2,1,1,8,74,0.10880000002089218
N2C1W1_J.txt,2,1,1,9,72,0.2527000000327462
N2C1W1_K.txt,2,1,1,10,69,0.2152999999793792
N2C1W1_L.txt,2,1,1,11,68,0.10679999996909828
N2C1W1_M.txt,2,1,1,12,60,0.22000000001298758
N2C1W1_N.txt,2,1,1,13,63,0.23310000000265063
N2C1W1_O.txt,2,1,1,14,61,0.13119999999844367
N2C1W1_P.txt,2,1,1,15,66,0.22129999996423066
N2C1W1_Q.txt,2,1,1,16,61,0.1151000000163549
N2C1W1_R.txt,2,1,1,17,70,0.10620000000471919
N2C1W1_S.txt,2,1,1,18,58,0.14799999996739643
N2C1W1_T.txt,2,1,1,19,67,0.12370000001737935
N2C1W2_A.txt,2,1,2,0,77,0.20680000000083965
N2C1W2_B.txt,2,1,2,1,74,0.2321000000051754
N2C1W2_C.txt,2,1,2,2,80,0.16859999999496722
N2C1W2_D.txt,2,1,2,3,86,0.25210000001152366
N2C1W2_E.txt,2,1,2,4,79,0.21850000001677472
N2C1W2_F.txt,2,1,2,5,77,0.24469999999610081
N2C1W2_G.txt,2,1,2,6,82,0.16909999999370484
N2C1W2_H.txt,2,1,2,7,83,0.17579999996542028
N2C1W2_I.txt,2,1,2,8,81,0.11139999998022176
N2C1W2_J.txt,2,1,2,9,80,0.11080000001584267
N2C1W2_K.txt,2,1,2,10,84,0.19529999997303094
N2C1W2_L.txt,2,1,2,11,77,0.22629999995160688
N2C1W2_M.txt,2,1,2,12,79,0.23410000000012587
N2C1W2_N.txt,2,1,2,13,77,0.22889999996777988
N2C1W2_O.txt,2,1,2,14,76,0.11089999998148414
N2C1W2_P.txt,2,1,2,15,80,0.2286999999796535
N2C1W2_Q.txt,2,1,2,16,79,0.26179999997566483
N2C1W2_R.txt,2,1,2,17,80,0.26300000001810986
N2C1W2_S.txt,2,1,2,18,81,0.2703000000110478
N2C1W2_T.txt,2,1,2,19,80,0.2552000000264343
N2C1W4_A.txt,2,1,4,0,85,0.2594000000044616
N2C1W4_B.txt,2,1,4,1,83,0.2692000000479311
N2C1W4_C.txt,2,1,4,2,87,0.259599999992588
N2C1W4_D.txt,2,1,4,3,91,0.2718000000072607
